TREE_ID,OBJECTID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
23012,4297,300 BOWIE ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3110904.463920000009239,10070928.648700000718236
23013,4298,300 BOWIE ST,Pistacia chinensis,Chinese Pistache,9,23,Fair,ROW,,3110893.907839999999851,10070902.505400000140071
23014,4299,300 BOWIE ST,Pistacia chinensis,Chinese Pistache,13,23,Good,ROW,,3110884.374400000087917,10070877.191500000655651
23015,4300,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,5,8,Good,ROW,,3111514.050629999954253,10070572.169800000265241
23016,4301,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,5,8,Good,ROW,,3111485.251800000201911,10070584.75870000012219
23017,4302,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,5,8,Good,ROW,,3111463.608800000045449,10070594.458399999886751
23018,4303,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3111436.586219999939203,10070603.965299999341369
23019,4304,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,7,23,Fair,ROW,,3111383.390790000092238,10070627.611899999901652
23020,4305,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,6,23,Fair,ROW,,3111352.716310000047088,10070642.082399999722838
23021,4306,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111322.668469999916852,10070653.074500000104308
23022,4307,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111295.428689999971539,10070662.855299999937415
23023,4308,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,5,8,Good,ROW,,3111263.02652999991551,10070678.767000000923872
23024,4309,800 W 3RD ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111231.126329999882728,10070690.370999999344349
23025,4310,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,7,23,Poor,ROW,,3111201.657230000011623,10070704.024800000712276
23026,4311,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3111169.602500000037253,10070717.587799999862909
23027,4312,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111135.380779999773949,10070731.956199999898672
23028,4313,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3111087.908770000096411,10070760.23369999974966
23029,4314,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3111060.071219999808818,10070770.037200000137091
23030,4315,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3111033.071930000092834,10070781.687100000679493
23031,4316,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3111005.606439999770373,10070794.182099999859929
23032,4317,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,23,Excellent,ROW,,3110980.034640000201762,10070804.82740000076592
23033,4318,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3110952.470720000099391,10070815.984899999573827
23034,4319,806 W 3RD ST,Ulmus crassifolia,Cedar Elm,4,8,Excellent,ROW,,3110926.502590000163764,10070827.740499999374151
23035,4320,900 W 3RD ST,Taxodium distichum,Bald Cypress,7,23,Excellent,ROW,,3110768.392349999863654,10070894.674000000581145
23036,4321,900 W 3RD ST,Taxodium distichum,Bald Cypress,6,8,Good,ROW,,3110715.48431000020355,10070916.482100000604987
23037,4322,900 W 3RD ST,Taxodium distichum,Bald Cypress,5,8,Excellent,ROW,,3110694.447610000148416,10070925.598200000822544
23038,4323,900 W 3RD ST,Taxodium distichum,Bald Cypress,8,23,Good,ROW,,3110676.034920000005513,10070932.391200000420213
23039,4324,900 W 3RD ST,Taxodium distichum,Bald Cypress,6,23,Fair,ROW,,3110634.983159999828786,10070951.298299999907613
23040,4325,900 W 3RD ST,Taxodium distichum,Bald Cypress,7,23,Good,ROW,,3110614.54226000001654,10070959.642699999734759
23041,4326,900 W 3RD ST,Taxodium distichum,Bald Cypress,7,23,Good,ROW,,3110595.279169999994338,10070967.127599999308586
23042,4327,900 W 3RD ST,Morus alba,White Mulberry,14,23,Poor,ROW,,3110563.330420000012964,10070980.785099999979138
23043,4328,900 W 3RD ST,Carya illinoinensis,Pecan,6,23,Poor,ROW,,3110550.413120000157505,10070986.699500000104308
23044,4329,900 W 3RD ST,Carya illinoinensis,Pecan,3,8,Good,ROW,,3110478.718059999868274,10071019.07799999974668
23045,4330,200 SANDRA MURAIDA WAY,Taxodium distichum,Bald Cypress,5,8,Poor,ROW,,3110276.810320000164211,10070528.285700000822544
23046,4331,200 SANDRA MURAIDA WAY,Taxodium distichum,Bald Cypress,5,8,Good,ROW,,3110285.29750999994576,10070514.66300000064075
23047,4332,200 SANDRA MURAIDA WAY,Taxodium distichum,Bald Cypress,5,8,Good,ROW,,3110346.907620000187308,10070444.5945999994874
23048,4333,200 SANDRA MURAIDA WAY,Taxodium distichum,Bald Cypress,5,23,Good,ROW,,3110363.50798000022769,10070435.303899999707937
23049,4334,200 SANDRA MURAIDA WAY,Taxodium distichum,Bald Cypress,6,23,Good,ROW,,3110397.155230000149459,10070423.916500000283122
23050,4335,200 SANDRA MURAIDA WAY,Taxodium distichum,Bald Cypress,6,23,Fair,ROW,,3110417.086949999909848,10070430.605100000277162
23051,4336,800 W 2ND ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3110549.941990000195801,10070351.777499999850988
23052,4337,800 W 2ND ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3110581.656500000040978,10070340.598099999129772
23053,4338,800 W 2ND ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3110608.416619999799877,10070331.590900000184774
23054,4339,800 W 2ND ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3110633.244320000056177,10070324.939600000157952
23055,4340,800 W 2ND ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3110654.87878999998793,10070318.25620000064373
